generated_id,gen_003691,gen_006708,gen_005214,gen_003648,gen_010597,gen_006027,gen_008095,gen_004545,gen_006249,gen_005187,gen_009542,gen_010599
gen_003691,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_006708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_005214,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0
gen_003648,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_010597,0.0,0.0,0.0,0.02631578947368421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_006027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_008095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gen_004545,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.0
gen_006249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,1.0,0.0,0.0,0.0
gen_005187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gen_009542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gen_010599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
